texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.37263834,0.62736166,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.34712502,0.65287495,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.2173729,0.7826271,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.31427458,0.68572545,False
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,0,0,0.08465409,0.9153459,False
الكعباخطرمنذالكورونا,1,1,0,0,0.37263834,0.62736166,False
se9si yemak tgoulk awlid,1,1,0,0,0.3782701,0.6217299,False
khanza faiha tfo,1,1,0,0,0.39339098,0.606609,False
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,0,0,0.2405001,0.7594999,False
😅😆,1,1,0,0,0.37263834,0.62736166,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.30154398,0.69845605,False
لخماج خامجين كواvا,1,1,0,0,0.3703899,0.62961006,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.4762807,0.5237193,False
اخرج ازبل اخرج,1,1,0,0,0.4678431,0.53215694,False
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,0,0,0.4237692,0.57623076,False
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,0,0,0.35128328,0.6487167,False
مهم حاول خير فخونشي صح,1,1,0,0,0.059718512,0.9402815,False
كاين ختك الي ماراهيش حابسه الشي,1,1,0,0,0.40720654,0.59279346,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.287145,0.712855,False
هواتف رديءه باسعار باهضه,1,1,0,0,0.18606587,0.81393415,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.34525168,0.6547483,False
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,1,0,0,0.38932705,0.61067295,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.33629632,0.6637037,False
anta arkhis,1,1,0,0,0.4674068,0.5325932,False
فرنسا العصاباتالجزاءريهم ارهابيه,1,1,0,0,0.31511375,0.6848862,False
اكبر سراقين في العالم,1,1,0,0,0.29155317,0.70844686,False
خساره عليكم يالي راكم تهدرو عل القبايل ميعرفوش الدين,1,1,0,0,0.4451158,0.5548842,False
احنا الجزايرين قاعدين نكسرو بعضانا تشراك الفم,1,1,0,0,0.34590694,0.654093,False
يا جماعه مافهمت والوا قاستو الرجله النيف يتكلم الدين يقول المنكر الفساد حنا كامل نخافوا ربي نتقوه نتوما كامل تحبوا الغفه الطهاره املا شكون راه يكذب بنات الناس شكون راه يزني البغايا العاهرات تقولولي الشرطه الامن شكون الشرطه شكون ياخي منا علينا كامل جزايرين يحل فموا يبدا بنفسه يتقي اله ربي يهدينا يرفق بينا,1,1,0,0,0.30309597,0.69690406,False
الكعب مود دو,1,1,0,0,0.41077524,0.58922476,False
سمحيلي مانعرفكش وجهك يربحش شغل نتاع مشاكل,1,1,0,0,0.3273867,0.67261326,False
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,1,0,0,0.49783233,0.5021677,False
okay hchon ymak,1,1,0,0,0.3680749,0.6319251,False
المهم ضربوهلو كيما انت,1,1,0,0,0.30817905,0.691821,False
تخمامك كيما نتع يعطينا المنشور,1,1,0,0,0.3621967,0.6378033,False
كيما اغتاصبوك مين كنت قاصر اومازالو يغتاصبو فيك وانتا تتلذذ,1,1,0,0,0.4878904,0.51210964,False
كلشي مبروك زكاره في عبله الرخاس لي حاكمين الجزاير,1,1,0,0,0.47961706,0.52038294,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.36333257,0.63666743,False
ربي يحفظك ويسترك من كل اذى ربي يرحم امك ان شاءالله ويغفرلها يارب العالمين امين,1,1,0,0,0.28162816,0.71837187,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.37305015,0.62694985,False
رساله لصباح حبسي لغناء بهدلتي بروحك شوفي كاش حاجه اخرا اخرجيلها طاي طاي ربي يهديك يديك,1,1,0,0,0.26815328,0.7318467,False
اه قصدك الاخرار تفوه عليك,1,1,0,0,0.40551406,0.59448594,False
مستوى منحط هزيل اهدو يسمو معارضين همكم الوحيد الجيش ثما الجبش حفظ الله لجزائر جيش ارض شعب من مكركم تحيا لجيش الشعب يقول تحيا لجيش,1,1,0,0,0.49616745,0.5038326,False
مستوى ثالثه ابتدائي ولى صحفي,1,1,0,0,0.3038283,0.6961717,False
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,1,0,0,0.37261596,0.62738407,False
n3el hecun yemak,1,1,0,0,0.37367427,0.6263257,False
نوميديا بزول,1,1,0,0,0.35692748,0.6430725,False
بهلول,1,1,0,0,0.4516046,0.5483954,False
akbar kadeb menteur battar,1,1,0,0,0.3846354,0.6153646,False
يالمنافقين,1,1,0,0,0.41594347,0.5840565,False
tezz,1,1,0,0,0.36600003,0.63399994,False
جامي لقيت منافقيق كيما صحافه جزائريه سلفولي وجوهكم نسكوكري بيهم ناس,1,1,0,0,0.47296545,0.5270345,False
هذا كامل بوصبعle bleuالمغيب الشماتى,1,1,0,0,0.3742194,0.6257806,False
شيعه ولات عندها جمهورها وراهم داروا لا بعد والله نعيشوكم المرار غير نديروكم من المعذبين في ارض انتم تحقرون الاسلام في جميع اركان العالم ونحن نحقر جميع ديانات غير الاسلام,1,1,0,0,0.3083122,0.6916878,False
ختك لي هناك🙄,1,1,0,0,0.36818734,0.6318127,False
عبلويه 10😵,1,1,0,0,0.31900516,0.68099487,False
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.34422275,0.6557772,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.2822766,0.71772337,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.3708088,0.62919116,False
علاه تحبو طلعو علامكم بلقبايل لي يحب التفاعل برك يهدر على شواكرو نقعدو عقدتكم شواكركم الى يوم الدين ☺️,1,1,0,0,0.32201323,0.67798674,False
نت دارولك خماج نتاع الفتنه,1,1,0,0,0.46283308,0.53716695,False
عنصرين,1,1,0,0,0.35574627,0.64425373,False
ايه ياشكوبستان مرتينا لمعيشه وقت بومدين غالي فرنك وظك ولات اورو غاليه بميتين مره شي خرافي ياحبيبي,1,1,0,0,0.28323278,0.7167672,False
عنصريين,1,1,0,0,0.42218086,0.5778191,False
القبايل نحكو كلاب ربراب والتوفيق,1,1,0,0,0.4039564,0.5960436,False
شنوي 💚❤ معجبكش حال نكمك تالي,1,1,0,0,0.3173767,0.68262327,False
صفحه عنصريه ب👍متياز,1,1,0,0,0.39101142,0.6089886,False
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله حتى تسقط العصابه,1,1,0,0,0.40433446,0.5956656,False
احذركم اخواني باتلاعب باروحكم الصنع الوطني حتي ادني شروط الامن لمراقبه وزاره التجاره,1,1,0,0,0.18950991,0.8104901,False
صحا قوادتك,1,1,0,0,0.22331904,0.77668095,False
مزالو يدور كيما قال واحد هنا ادي حكايتك روح يالجيفه بهلول انسانا شويه برك خلينا نعيشو في امان وقيله خلصولك دراهم حنا هنا نعيشو انت اقعد تم واحكي عيب علينا نقولو من الجزائر واحد كيما انت ربي يهدك اخطينا لي واجه الله يسلط عليك لي مايخاف ربي,1,1,0,0,0.34549427,0.6545057,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.30255932,0.6974407,False
🖕🏻,1,1,0,0,0.37263834,0.62736166,False
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,1,0,0,0.30573237,0.69426763,False
rouh t9awa,1,1,0,0,0.4526447,0.5473553,False
نظام ارهابي ودجينرو حركي وباذن اله الشعب سينتصر,1,1,0,0,0.32363945,0.67636055,False
فريت اوملات بالبيض اه يا طبي 🙄😅,1,1,0,0,0.4229345,0.57706547,False
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,1,0,0,0.455424,0.544576,False
خامجه فوحه,1,1,0,0,0.31619656,0.68380344,False
وجه بيت ماء 😂,1,1,0,0,0.45002475,0.5499753,False
مزالك تهدر عيش سكتنا شويا,1,1,0,0,0.28360122,0.7163988,False
ترر,1,1,0,0,0.37263834,0.62736166,False
وكان ينيك لاطفال,1,1,0,0,0.36302176,0.63697827,False
nikk,1,1,0,0,0.37263834,0.62736166,False
باذن اله مانزيد نشري الخرده تاعهم,1,1,0,0,0.09693659,0.9030634,False
افف,1,1,0,0,0.37263834,0.62736166,False
قنبله نويه الاستاذ محمد العربي زيتوت فظح كوارثهم الارهابيه تسقط المافيا العسكريه,1,1,0,0,0.36936146,0.63063854,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.31165794,0.6883421,False
لقحاب عادو يعطو رايهم سيادهم,1,1,0,0,0.41197464,0.58802533,False
نكفر بيهم,1,1,0,0,0.23082224,0.7691778,False
الجهل 👌,1,1,0,0,0.3520868,0.6479132,False
ربي يحفظك اخي العربي تحيه تقدير اليك الاحرار يخرجون رافضون لحكم العصابه مخطاتها الخبيثه,1,1,0,0,0.19468926,0.8053107,False
مالا حبسو حتى نتوما من تقديس ربراب 😕 بسبابكم درتونا التشتيت على باقي المطالب,1,1,0,0,0.37070364,0.62929636,False
