text,true_label,true_label_numeric,predicted_label,predicted_label_numeric,probability_positive,probability_negative,is_correct
بنات الفميليا الجزاءر,0,0,1,1,0.4242823,0.5757177,False
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,1,1,0.4378261,0.5621739,False
تحرمن كيو تاع حمادي,0,0,1,1,0.5829361,0.4170639,False
فيف لقبايل,0,0,1,1,0.55167216,0.44832784,False
وانت وين راك,0,0,1,1,0.39405552,0.6059445,False
نحي فلسطين دار اسراءيل💔☹,0,0,1,1,0.43898168,0.56101835,False
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,1,1,0.40191734,0.59808266,False
دير القايد تبون تخافيش,0,0,1,1,0.5234926,0.47650743,False
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,1,1,0.46043378,0.5395662,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.88883454,0.111165464,False
بركاكم الكذب الناس,0,0,1,1,0.69102466,0.30897534,False
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,1,1,0.9690323,0.030967712,False
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,1,1,0.49923465,0.5007653,False
سببت الهتهم يا جورج,0,0,1,1,0.793847,0.20615298,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.7685171,0.23148292,False
اررض 🤣,0,0,1,1,0.69024146,0.30975854,False
xxtentacion nhbo,0,0,1,1,0.44563708,0.5543629,False
hna vrai m9sthch,0,0,1,1,0.43687525,0.5631248,False
لم تتصلوا بي,0,0,1,1,0.4052758,0.5947242,False
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,1,1,0.4871552,0.5128448,False
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,1,1,0.8022641,0.1977359,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.71975034,0.28024966,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.39142424,0.60857576,False
ربراب الهدف القبض ربراب,0,0,1,1,0.5428506,0.4571494,False
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,0,1,1,0.73328364,0.26671636,False
او 46 الف تاعي بركاو ماتسرقو رجعوها,0,0,1,1,0.5742926,0.4257074,False
قناه النهار مصادر موثوقه تءكد يسعد ربراب متورط هجمات سيريلانكا😂,0,0,1,1,0.5945898,0.40541017,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.7037003,0.2962997,False
akdli ela soolking 🤣,0,0,1,1,0.5912253,0.40877467,False
حياك0اله ياحور,0,0,1,1,0.4370958,0.56290424,False
ان الشيطان يعدكم الفقر,0,0,1,1,0.4404089,0.5595911,False
البروبلام يقولولو استاذ فالايف,0,0,1,1,0.5410272,0.4589728,False
ربراب فءنسي وحداد بريطاني واخر خبر كونيناف جنسيه سويسريه لك اله يا جزاءر,0,0,1,1,0.92898345,0.07101655,False
او انت تعطيني معلومات,0,0,1,1,0.74096626,0.25903374,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.8467487,0.15325129,False
سقسي اي واحد هنا يقولك ساره بريئه عاقله مسالمه nمي عائشه نوو🤭,0,0,1,1,0.41043064,0.58956933,False
ماسمعناش الشاب يتكلم الشاب القاصر ولازم شهاده طبيه كي تثبت ذالك لازم دائما دلائل والا اي واحد يجي يقول اغتصبت,0,0,1,1,0.6001725,0.39982748,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.657041,0.342959,False
ادريس undefined خمم,0,0,1,1,0.53838485,0.46161515,False
راجل نستعرف بيك المسؤول اختار المسؤوليه فالاساس باه يخدم الشعب نقطه ارجع للسطر,0,0,1,1,0.41516754,0.58483243,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.8030036,0.19699639,False
بونا فراز كحلا,0,0,1,1,0.6436458,0.35635418,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.70210856,0.29789144,False
من حراش,0,0,1,1,0.4746776,0.52532244,False
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,0,1,1,0.80979127,0.19020873,False
كاين خل 💁🏻‍♀️,0,0,1,1,0.43101,0.56899,False
بصراحه شفت ذرك لايف نتاعهم يقولو ليك لمان ليك لمان الجزائر ما فيك لمان ياكلو,0,0,1,1,0.6097546,0.39024538,False
هاذوك الخزرات حسيتهم موجهين لعبله مشي لكاميرا,0,0,1,1,0.706333,0.29366702,False
ماشاء الله دماغ شغاله مش بتنام,0,0,1,1,0.39130408,0.6086959,False
افهمو يا عرب الوقوف ربراب وقوف الحق وليست جهويه,0,0,1,1,0.42422798,0.57577205,False
جناح القايد قضى على جناح بوتفليقه والان جناح اخر يقضي على جناح القايد الفرق انه كنا نعرف جناح بوتاف وجناح القايد اما الان فلا نعرف اي الاجنحه تتحكم فلو صدقنا قولكم على ان توفيق ونزار يتحكمان فلمذا كنتم ضد من اراد القضاء عليهم بمعنى واحد ووحيد انكم لن ترضو باي جناح حتى ولو كان جناح بعوضه,0,0,1,1,0.46973655,0.5302634,False
شعار حاول انك انثي 😐👎,0,0,1,1,0.6150532,0.38494682,False
نافر,0,0,1,1,0.70320314,0.29679686,False
مراركا يضالو يضحكو علينا ونتوما اضحكو على رواحكم,0,0,1,1,0.722341,0.277659,False
الله يعوانكم يا شعب الابطال رجال الجبال الاحرار اهل النيف الشجاعه,0,0,1,1,0.62361944,0.37638056,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.8993742,0.10062581,False
نتا منين يرحم باباك,0,0,1,1,0.7962953,0.20370471,False
البنه رهي كامل فرماج فريكو,0,0,1,1,0.39984405,0.60015595,False
يا شيخ ما افهمناكمش واش اتكونوا انتم خطابك غير واظح,0,0,1,1,0.73401076,0.26598924,False
عيبهم انهم سرقو صفر دينار لو كانو سرقو الملايير كانو سيكرمون لك الله يا جزاير,0,0,1,1,0.6065105,0.39348948,False
لفاندوفسكي برجلو مركا خمسه في خمس دقايق وهادو 12 دقيقه ممركاوش 😞,0,0,1,1,0.56243175,0.43756825,False
او فاقو,0,0,1,1,0.5613057,0.4386943,False
يستهل انسان صادق,0,0,1,1,0.47987902,0.520121,False
كول واعر يا ختي سلمى جبتيه في الشبكه نيشان 👌,0,0,1,1,0.62172884,0.37827116,False
قوللنا منين جبت دراهم تع q3,0,0,1,1,0.7188772,0.2811228,False
تهنو من بلد الشر المعرفه,0,0,1,1,0.70915127,0.29084873,False
ça va chwia mn frr 😆,0,0,1,1,0.8631081,0.1368919,False
نعرف مغضوب الكسكاس لخرين مانعرفهمش,0,0,1,1,0.6205014,0.3794986,False
مابوني لي جواغ تاع ملهيه,0,0,1,1,0.6215727,0.37842733,False
ادري اصاب اخطا البغل تع سلال داءما يعميها بعيدا السياسه اقول مرحبا لسورين بلدكم الثاني انصر اخاك المسلم يا عبد اله سمعتم العيوب عليهم فقدرو الاوضاع وتركو امرهم له فانتم واله تعلمون شيءا معاناتهم الهم انصر الاسلام والمسلمين رءي ولكلن راي وله اتكلم غيرتا حالنا يا عرب,0,0,1,1,0.92984205,0.070157945,False
نلبس لاكوست لاريني مانيش كعبه,0,0,1,1,0.4246673,0.5753327,False
هدرتو غير على الحوايج لي قاعدين يغالاو نسيتو ما هدرتوش على لي ديما يرخس 😁,0,0,1,1,0.47836033,0.5216397,False
راك حاسدهم خلي يدي حقو لي راه ماديها حداد واويحي وجماعتو متجيش غرام,0,0,1,1,0.835249,0.164751,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.6044345,0.3955655,False
frites omelette bel baydhjus orange ta3 tchina,0,0,1,1,0.50004,0.49996,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.7226878,0.27731222,False
علش لاريني عيب 😙,0,0,1,1,0.7955207,0.20447928,False
stfuمثقفين لودو are here,0,0,1,1,0.4201154,0.5798846,False
مملكه ماروكو,0,0,1,1,0.4370958,0.56290424,False
ارفع راسك فانت جزائري 💪,0,0,1,1,0.6870375,0.31296247,False
kas jus orange ta3 della,0,0,1,1,0.5063138,0.4936862,False
يعجز اللسان عن التعبير,0,0,1,1,0.6244223,0.3755777,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.77561593,0.22438407,False
nta bach talha9 crb lazemlk kho 😉,0,0,1,1,0.6966273,0.30337268,False
ماشافوش شكيب خليل ماشافوش عمار سعيداني ماشافوش السعيد بوتفليقه ماشافوش بهاء طليبه ماشافوش ابن القايد صالح شافو غير القبايل حداد اويحيى ربراب راكم فاهمين 😉قيوو فقو تمثيلا ترحلو يعني ترحلو,0,0,1,1,0.56775945,0.43224055,False
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.44365537,0.5563446,False
جيس كوبو الامام ✌️ 🎩,0,0,1,1,0.59216166,0.40783834,False
كونيناف سويسري,0,0,1,1,0.4017514,0.5982486,False
زيد معاها قايد صالح شنقريحه تجي شابه,0,0,1,1,0.5051967,0.4948033,False
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.9256029,0.07439709,False
الجزائر من نهار استقلينا وهما يسرقو مفقرتش مزيه ربي يشوف لينا,0,0,1,1,0.49563873,0.5043613,False
زيد اكشفهم انت ديمقراطي,0,0,1,1,0.5305943,0.4694057,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.43814322,0.56185675,False
تبون الجيش يخرجش لمالي بامر ماكرون او طبطب,0,0,1,1,0.8545271,0.14547288,False
نحبوا مولوديا وعايشين زوعاما,0,0,1,1,0.5261575,0.4738425,False
ايامات العز كي الهني القلوب الصافيه النقيه التقيه,0,0,1,1,0.68081766,0.31918234,False
انا نضن خلي مكالاه نضن مع الرعيان,0,0,1,1,0.5519805,0.4480195,False
شوفو كفاش فرنسا تتقعد بااجزاءري السيد ميهدرش اللغه يعطيه ديبلوم تع البطاطس,0,0,1,1,0.68327373,0.31672627,False
نتوما تاني ركم مركزين رقبته,0,0,1,1,0.43085486,0.56914514,False
العسل ارواح شوف هاذ المخلوقه راهي نتاع ماكلهفي رمضان تهبلنا نبلوكوها,0,0,1,1,0.68427795,0.31572205,False
واش دخلكم فربراب تعرف دواخل ديالو,0,0,1,1,0.59954584,0.40045416,False
bl byd😂,0,0,1,1,0.5953073,0.4046927,False
نديرو لغساله مليح لترسب وجراثيم,0,0,1,1,0.41717944,0.58282053,False
هذون الهه الله يهديك شغل راك اعترفت بيهم,0,0,1,1,0.8898231,0.11017692,False
رضا كونيناف سويسري ايسعد ربراب فرنسي سعيد بوتفليقه مغربي,0,0,1,1,0.70111966,0.29888034,False
سندويش فريط او املاط نص طياب,0,0,1,1,0.4459657,0.5540343,False
