texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.22379127,0.77620876,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.46499333,0.53500664,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.017797228,0.98220277,False
😅😆,1,1,0,0,0.49416402,0.505836,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.016381474,0.9836185,False
مهم حاول خير فخونشي صح,1,1,0,0,0.025264364,0.9747356,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.0035464647,0.9964535,False
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,1,0,0,0.22286372,0.77713627,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.3292879,0.6707121,False
koulchy mabrouke hagda abla taharake rpake rpake ya abla,1,1,0,0,0.051505856,0.94849414,False
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,1,0,0,0.27213177,0.7278682,False
نوميديا بزول,1,1,0,0,0.02031488,0.9796851,False
انا نحير سيرفات واش فيها من بنه وزيد محروقه تاع واحد زوفري انت في رايي,1,1,0,0,0.364992,0.635008,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.0036438035,0.9963562,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.002212642,0.99778736,False
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,1,0,0,0.058299463,0.9417005,False
ballon et camarade ma3rftche kifech taktabhoume ou djite tayer fa siyad machi mlihe ounsorria en plus matalh9ouche koulech,1,1,0,0,0.3157982,0.68420184,False
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,1,0,0,0.025705269,0.9742947,False
كي تكون نتا تقسم فل الارزاق قلهم ميولدوش,1,1,0,0,0.08127944,0.91872054,False
فريت اوملات بالبيض اه يا طبي 🙄😅,1,1,0,0,0.15467809,0.8453219,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.15522139,0.8447786,False
نكفر بيهم,1,1,0,0,0.02480422,0.97519577,False
عفن السلام,1,1,0,0,0.029128855,0.97087115,False
شاوي افتخر لي مايعرفش اصلو يروح يشعل روحو,1,1,0,0,0.012166673,0.9878333,False
li ysiporti tajnat ou csc hdouk mhalbin 🤣,1,1,0,0,0.010640648,0.9893594,False
wach d5l crb dok ana wa9il ani ntnaq l3l,1,1,0,0,0.15553758,0.8444624,False
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,1,0,0,0.015807869,0.98419213,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.18746722,0.8125328,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.002181755,0.99781823,False
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,1,0,0,0.024660548,0.9753395,False
في سبيل التذكير فان ربراب قام باستوراد الحديد المشع من اكرانيا حيث بعد حادثه تشرنوبيل النوويه قامت اكرانيا بدفع اموال من اجل التخلص من الحديد المشع ربراب قام باحضاره بيعه للجزائريين هذا ما يفسر الارتفاع الكبير في عدد المصابين بالامراض السرطانيه كذلك الكثير من الامراض التي لم يستطع الاطباء تشخيصها نسال المولى عز جل ان يعاملك بعدله,1,1,0,0,0.3732307,0.6267693,False
عندو حكطي تاع راك تعرف بلا منقولها,1,1,0,0,0.024282908,0.97571707,False
مام انت كيمي هوا علاش غاضك,1,1,0,0,0.036795188,0.9632048,False
baynd mamidou hada mdiroch 3lih,1,1,0,0,0.015188493,0.9848115,False
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,1,0,0,0.027733106,0.9722669,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.048305806,0.9516942,False
علبانا بيها وانت على واش تحوس,1,1,0,0,0.03579598,0.964204,False
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,1,0,0,0.06159491,0.9384051,False
مكنش موقع اباحي مدخلوش,1,1,0,0,0.007215961,0.992784,False
خرجنا من اجل البلد ليس من اجل الشهريه ربراب لي دار يخلص يتحاسبو فاع قبايل عرب شاويه بني مزاب عودو الى رشدكم ضعو مصلحه البلاد قبل مصالحكم ليس على هذا ما بدا الحراك خرج الشعب يوم فيفري قوتنا في وحدتنا لا تدعو العصابه تفرقكم الحراك بريئ من الخبزيست,1,1,0,0,0.050352093,0.9496479,False
