texte,vrai_label,label_predit,est_correct,probabilite_positive
يا خي بترونه,1,0,False,0.4921177327632904
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.49217188358306885
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,0,False,0.4897554814815521
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4910224676132202
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,0,False,0.46741312742233276
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,0,False,0.4946697950363159
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,0,False,0.47072166204452515
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.4813498854637146
جاري الخروج الصفحه الكاشيريه,1,0,False,0.4972901940345764
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,0,False,0.49245238304138184
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,0,False,0.4953380227088928
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,0,False,0.4854154884815216
دوك الصلاه تمنيكو بيها,1,0,False,0.4793972373008728
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,False,0.4959597587585449
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,0,False,0.48788297176361084
الكعباخطرمنذالكورونا,1,0,False,0.474641889333725
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,0,False,0.4916445016860962
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.491926908493042
se9si yemak tgoulk awlid,1,0,False,0.4906679391860962
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,0,False,0.4872279167175293
el khra yaw,1,0,False,0.4945920407772064
khanza faiha tfo,1,0,False,0.48885029554367065
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,0,False,0.48093223571777344
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,0,False,0.49526241421699524
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,0,False,0.48899614810943604
كس امو لي ميحب فري فاير 😑,1,0,False,0.4952205717563629
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,0,False,0.48612821102142334
ya zitout tfo,1,0,False,0.4751446843147278
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,0,False,0.4950278401374817
لخماج خامجين كواvا,1,0,False,0.49920573830604553
ta kalb chmata wa r7is wo tahan tffo,1,0,False,0.47118455171585083
طز روحو الامارات,1,0,False,0.4912410080432892
