texte,vrai_label,label_predit,est_correct,probabilite_positive
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.99506676197052
بركاكم الكذب الناس,0,1,False,0.7505214214324951
مخروب,0,1,False,0.9731928706169128
هاذي صناعه جزاءريه,0,1,False,0.64151930809021
المهم ترقبوا عوده زيت السانقو صفيه بقوه ببوشون واحد فقط تستطيع قلي خروف بشحمه ولحمه وتشتريه بثمن قهوه ومعلب في قاروره قصديره ملعونه ذبحت يدي في محاوله فاشله لفتحها من اجل قلي البطاطا على شاطئ البحر وتوكل اافريت بطعم الدم ونتا جد فرحان وسعيد في حين ربراب يضرب في الصبه بطعم عصير المقارون هو ومعه ربراب وعائله خنينف اللذين بنوا السجون ودشنوها مبكرا عن طريق خط مواصىلات سيدي محمد الحراش السريع,0,1,False,0.7385367155075073
او غاقو بكم لاتشغلوا الناس على الحراك الحراك ماضي الى يوم الدين,0,1,False,0.7948188781738281
وعلاه زدت كلمه البائسين كيف تخاف الفقر والله رازق فقد رزق الطير حوت في بحر,0,1,False,0.9649524688720703
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,1,False,0.9981732368469238
شعار حاول انك انثي 😐👎,0,1,False,0.996828019618988
اغسل فمك بش تهدر ربراب,0,1,False,0.9938920736312866
نتا منين يرحم باباك,0,1,False,0.9927899837493896
الرابحين الطمبوله,0,1,False,0.9954010248184204
زيدلها المازدا,0,1,False,0.9981120824813843
استقلال مختطف فيق يا شعب,0,1,False,0.9847471714019775
لطفي الله يخليك تبهدل في خسارين لبلاد,0,1,False,0.9951457381248474
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,1,False,0.5885562896728516
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,1,False,0.9739171266555786
زيد اكشفهم انت ديمقراطي,0,1,False,0.9609755277633667
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,1,False,0.857864499092102
خلاط,0,1,False,0.9750163555145264
واش دخلكم فربراب تعرف دواخل ديالو,0,1,False,0.9300004839897156
خلي السكطمبري العثروس ودنين الطاروس يرقد على الحيبوسه اسكت لا توقظه,0,1,False,0.9950874447822571
ضك يجو يتعرقو عليك واش داك تخرب,0,1,False,0.9762751460075378
الموهبه الجزاءريه بف اختك يا صاحب المقال ستمثل توم كرموز براد بيت يا وقح,0,1,False,0.9985523819923401
خطيك,0,1,False,0.7248864769935608
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,1,False,0.9951027631759644
خلي السكطمبري العثروس ودنين الطاروس يرقد الحيبوسه اسكت توقظه,0,1,False,0.9903640151023865
ياو مرانش نقولو ربراب مليح مي رانا نقولكم القايد راهو يلعب بيكم افطنو,0,1,False,0.592391848564148
مبروك خونا امير لعقوبه لمزيد النجاحات ستصعق النخبه المزعومه,0,1,False,0.5681490302085876
وعلاه نورمال ولد فرانسا ولد دزاير المهم عاد يقبض لعصا يخي كي تخلط يجيبو ولاد الشرق,0,1,False,0.9895743727684021
ليحب تحب تشيع تهدر مولوديه,0,1,False,0.9879027009010315
نضن خلي مكالاه نضن الرعيان,0,1,False,0.822272777557373
ونقطاع لاماء,0,1,False,0.8059837818145752
قالك صحافي العجب السنه الرابعه ابتداءي,0,1,False,0.9515269994735718
wach bik m3a leqabayel ma lqitch la wach thdr,0,1,False,0.9949994087219238
متستحييل,0,1,False,0.9783328175544739
المنحه راهم يديو اصحاب البطون المنتفخه,0,1,False,0.9930585622787476
peur parce ce que hadou houma les vrais hommes de algérie hadou houma ils vont pas laisser algérie tache3ale fiha naree il sont des principes hadou nasse andehoum algérie fi damhoum machi wellad franca rabi makoum nechallah vous serez régulariser nechallah vous étiez la qui kane chabe fi hala je me souviens très bien de cette époque 👍vive algér,0,1,False,0.9682287573814392
عندك حق الله تتعذب تعذب اولادك معاك,0,1,False,0.9185377955436707
wenta rak dayer chdayer howa,0,1,False,0.9872376918792725
azel,0,1,False,0.5164741277694702
الاغتصاب في مراكز الامن هاده بدايه الانهيار,0,1,False,0.929020345211029
حتى الاشهار تبهدلو بينا عضه قولو لقمه حاله والله,0,1,False,0.94351726770401
قعد تحسب لناس رجال كانو فجبال انت كنت متخرج مندركم,0,1,False,0.595146119594574
ech3b rah 9abl bddl he mala ystehl ktar,0,1,False,0.9785756468772888
عليها كانو الحركى بزاف في الجزائر فرنسا تقدم امتيازات بالجمله قال صحفي معترف بها🐗,0,1,False,0.996056079864502
القباءل ربراب الشاويه القايد خلي نديرو حرب,0,1,False,0.9967693090438843
🖕لاي ابوناهم,0,1,False,0.789793074131012
اخطيكم من الدين,0,1,False,0.5561676621437073
aw qaderek,0,1,False,0.9779418110847473
الترمه عمرها تبول يعني تقعد ترمه ليكوش هدا,0,1,False,0.9986141920089722
حاجه تاع تبهليل داخل عمك الطرطور,0,1,False,0.6695734262466431
impossibl,0,1,False,0.8566956520080566
انطلقوا ايها الغاضبون انه يشتم الهتنا 😂,0,1,False,0.7534264326095581
ribondi 3alya brv omlyy😉,0,1,False,0.963836133480072
rä mï aya tsm3 lekhra,0,1,False,0.9979754090309143
خلطي جلطي حرزي تزعطي,0,1,False,0.9854344129562378
♓✌️☪️الى يوم يبعثون,0,1,False,0.5878787636756897
wallahe ila 3ib ar ndam fasid,0,1,False,0.9963494539260864
