texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,0,False,0.4921446,0.5078554
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.24128847,0.7587115
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.3754622,0.6245378
بغل حركي,1,0,False,0.34493572,0.6550643
خارينا,1,0,False,0.38235587,0.61764413
بنات الفميليا الجزاءر,0,0,True,0.2843074,0.71569264
الله يبارك ما شاء الله,0,0,True,0.17288414,0.8271159
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.44413412,0.5558659
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.36419624,0.63580376
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.6793984,0.32060158
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.5896001,0.4103999
انا شريتها من قسنطينه,0,0,True,0.19868337,0.8013166
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.37118205,0.6288179
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.71530724,0.28469276
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.49216974,0.50783026
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.6729182,0.3270818
بركولي ليوم شريت,0,0,True,0.28477412,0.7152259
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.55178815,0.44821185
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.78411186,0.21588814
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.46228653,0.53771347
الي روتور,0,0,True,0.29682142,0.7031786
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.5818779,0.4181221
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.4457811,0.5542189
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.3440895,0.6559105
تحرمن كيو تاع حمادي,0,0,True,0.367642,0.632358
فيف لقبايل,0,0,True,0.33170557,0.6682944
اه يالزح ما تفكرناش,0,0,True,0.3406761,0.65932393
جاري الخروج الصفحه الكاشيريه,1,0,False,0.45719427,0.54280573
ربي يهديكم,0,0,True,0.31431532,0.6856847
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.3435424,0.6564576
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.69954556,0.30045444
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,0,False,0.3776908,0.6223092
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.44818413,0.55181587
نعبد ربي الحمد اله يا رب,0,0,True,0.48390907,0.5160909
جي دورونج تاع التفاح,0,0,True,0.4701517,0.52984834
naima bitalmaa tahball mouti ya naima lafouhiste,1,0,False,0.4899461,0.5100539
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.8245137,0.17548633
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.265717,0.734283
وانت وين راك,0,0,True,0.3291386,0.67086136
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.65189767,0.34810233
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.3510116,0.64898837
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.6828059,0.3171941
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,0,False,0.3932981,0.6067019
لقد اشتريت واحده ولم اعلم,0,0,True,0.3036208,0.6963792
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.4219384,0.5780616
دوك الصلاه تمنيكو بيها,1,0,False,0.28501597,0.71498406
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.27049732,0.7295027
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,1,False,0.6556832,0.34431678
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.42922086,0.57077914
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.786942,0.213058
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,0,False,0.4954276,0.5045724
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.6643137,0.33568633
دير القايد تبون تخافيش,0,0,True,0.38401628,0.6159837
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.8146283,0.1853717
الكعباخطرمنذالكورونا,1,0,False,0.38235587,0.61764413
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,0,False,0.27708605,0.722914
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.45829582,0.5417042
تكتب ضواحيها ليس ظواحيها,0,0,True,0.30368733,0.69631267
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.3372088,0.6627912
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.4712271,0.5287729
se9si yemak tgoulk awlid,1,0,False,0.33914024,0.66085976
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.70357025,0.29642975
el khra yaw,1,0,False,0.36807144,0.63192856
بركاكم الكذب الناس,0,0,True,0.34928876,0.65071124
واله حاجه متخرجني,0,0,True,0.35213405,0.64786595
khanza faiha tfo,1,0,False,0.34974438,0.6502556
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.8249247,0.1750753
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.12469566,0.87530434
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,1,False,0.6773388,0.32266122
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.55886924,0.44113076
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.7574224,0.24257761
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,0,False,0.46344241,0.53655756
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.40727478,0.5927252
كس امو لي ميحب فري فاير 😑,1,0,False,0.4576049,0.5423951
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.31259832,0.68740165
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.41171062,0.5882894
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.27699822,0.7230018
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.37217662,0.62782335
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,0,False,0.31559852,0.6844015
😅😆,1,0,False,0.37500829,0.6249917
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,True,0.51926535,0.48073465
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,0,False,0.46298692,0.53701305
سببت الهتهم يا جورج,0,1,False,0.5112172,0.48878282
ya zitout tfo,1,0,False,0.4031672,0.5968328
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,True,0.646732,0.35326803
لخماج خامجين كواvا,1,0,False,0.25750738,0.7424926
ta kalb chmata wa r7is wo tahan tffo,1,0,False,0.3587396,0.6412604
مزيه واحد زاد وحدو🙂😂,0,0,True,0.323398,0.676602
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,True,0.31923786,0.6807622
طز روحو الامارات,1,0,False,0.40085712,0.5991429
يارب امين يارب,0,0,True,0.25206763,0.7479324
😂 بلا مزيه حبيبه قلبي 😘,0,0,True,0.35999933,0.6400007
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,True,0.8371797,0.16282028
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,True,0.19279598,0.807204
السلام العليكم,0,0,True,0.31851724,0.6814828
مكن اعرف نقاط البيع ولايات الشرق,0,0,True,0.4339247,0.5660753
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,1,False,0.6557392,0.3442608
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,0,True,0.36835974,0.63164026
اررض 🤣,0,0,True,0.32234526,0.67765474
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,True,0.7071455,0.2928545
اخرج ازبل اخرج,1,0,False,0.33940428,0.6605957
xxtentacion nhbo,0,0,True,0.3505051,0.6494949
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.337395,0.662605
روح تعطي كبيير خلاه انت او لي كيفك,1,1,True,0.640491,0.359509
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,0,False,0.42102882,0.57897115
ولاد لكلاب كلاو بعضهم بعض 😂,1,0,False,0.39913014,0.6008699
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,0,False,0.3998047,0.6001953
hna vrai m9sthch,0,0,True,0.36812645,0.63187355
اطلقوا سراح ربراب,0,0,True,0.30715176,0.6928482
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,True,0.7934169,0.20658308
اله يذلك يا ديوث يا كبول,1,1,True,0.6642464,0.33575362
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,0,False,0.42867783,0.5713222
لطفك يا رب,0,0,True,0.49560603,0.50439394
لم تتصلوا بي,0,0,True,0.2812492,0.71875083
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,True,0.59920025,0.40079975
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,True,0.4546389,0.5453611
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,True,0.4875508,0.5124492
مهم حاول خير فخونشي صح,1,0,False,0.34761444,0.6523856
كاين احسن اطباء مهندسي الجزائر من خريجي الجامعات الفرنسيه اين المشكل في ذلك,0,0,True,0.14032102,0.859679
راحت هيبت فريت اوملات شي,0,0,True,0.43314555,0.5668545
كاين ختك الي ماراهيش حابسه الشي,1,0,False,0.38583305,0.614167
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,True,0.6789072,0.32109278
يتسما نحمد ربي,0,0,True,0.28702685,0.7129731
كفاه راهم يديرو هاذو باه يربحو,0,0,True,0.4332032,0.5667968
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,1,False,0.7943765,0.20562351
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,0,False,0.4616774,0.53832257
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,True,0.40910488,0.5908951
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,0,False,0.34205568,0.6579443
هذا وزير هذا تقول قردقود,1,0,False,0.30818057,0.6918194
الله يسهل,0,0,True,0.26531905,0.73468095
هواتف رديءه باسعار باهضه,1,0,False,0.31129852,0.6887015
تموتو من مولوديه 🤦‍♂️,0,0,True,0.36214614,0.63785386
ياو روح تعطي مازالك تحكي,1,0,False,0.49562126,0.50437874
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.4631507,0.53684926
ou khtek kayna menha,1,0,False,0.3382186,0.66178143
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,0,False,0.38283324,0.61716676
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,1,False,0.59257597,0.40742403
ان شاء الله قاع يتحاسبو,1,0,False,0.22124122,0.77875876
يتبعون مقوله اويحي جوع كلبك يتبعك كلاب السلطه يتنحاو قاع ترحلوا يعني ترحلوا تنحاو قاع دوله مدنيه ماشي عسكريه يسقط حكم العسكر,1,1,True,0.6816463,0.3183537
نعدين سوا تع مك,1,0,False,0.39655998,0.60344005
خاوتي سلام عليكم راني حبيت نسقسيكم اقصي لتدخل مصالح الصيانه لديكم زبون لديه مشكل ثلاجه,0,0,True,0.4638993,0.5361007
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,0,True,0.1837584,0.8162416
الشوربه البيضاء الشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.41350374,0.58649623
ياك كنت معاه ودرتي فيديوا معاه نهار حكموه لبوليس وطلقوه دك بديتوا دوروا بعضاكم ياوحد الحركي,1,1,True,0.507903,0.49209702
طرول قاعد كي سوهختك,1,0,False,0.39183214,0.6081679
انتم مفروض ديرو اشهار لجميع منتوجات بروند,0,1,False,0.5850108,0.41498917
علاه كاين بالو دزاير 😂,0,0,True,0.39785185,0.6021482
بابا تدافعو المجرم ربراب هاذي زادت فضحت الزواف,1,0,False,0.47208038,0.52791965
لاحول قوه باله الهم الطف بنا وباشقاءنا,0,0,True,0.3479684,0.6520316
بسكره عندكمش نقاط البيع,0,0,True,0.3630109,0.6369891
ربراب الهدف القبض ربراب,0,0,True,0.3781428,0.62185717
طحان وتقعد طحان والله وتبوس رجلين كل جزائري واحد واحد والله مانسامحوك انت وكل فرد في عصابتك لكم يوم والله يمهل ولا يهمل,1,1,True,0.77916205,0.22083795
المهم التبهديل الكبير في كاس العالم هذا هو الهدف المقلوب عفوا المطلوب,0,0,True,0.47524428,0.5247557
مبروك عليك علينا le diplôme,0,0,True,0.2745943,0.7254057
الا لعنه الله على الكاذبين,1,0,False,0.31965327,0.6803467
انت عييت ما تنبح مالحقتش,1,0,False,0.40126923,0.5987308
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,0,True,0.20670845,0.79329157
مانحبش نسمع 😒,0,0,True,0.21200751,0.7879925
ربي 🤨,0,0,True,0.3206143,0.67938566
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,1,True,0.7499654,0.25003457
anta arkhis,1,0,False,0.34919703,0.65080297
فرنسا العصاباتالجزاءريهم ارهابيه,1,0,False,0.38914394,0.61085606
وجوه الزب لي داخلين باش يقولو اكتبو اله ديرولي جام صلو النبي ياو نيك ماتكم نيك ماتكم وجوه المقله,1,1,True,0.8337209,0.16627908
الدعاء استوقفتني كلمه حكمك عدل اذن الوضع تعيشه الوضع تستحقه,0,0,True,0.42233002,0.57767
نسيت بوصبع العبيد تع بو تبون🤔,1,1,True,0.58686775,0.41313225
اكبر سراقين في العالم,1,0,False,0.36144394,0.63855606
اين المفر,0,0,True,0.30130744,0.69869256
ربراب هذا من فضل ربي 😁,0,0,True,0.40312535,0.59687465
خساره عليكم يالي راكم تهدرو عل القبايل ميعرفوش الدين,1,0,False,0.46839908,0.53160095
احنا الجزايرين قاعدين نكسرو بعضانا تشراك الفم,1,1,True,0.54827803,0.45172197
حياك اله استاد العربي,0,0,True,0.24808863,0.7519114
وعلاه هربت قبل ماتطفى الناراحناكناثم في القاله ماخرجناش حتى طفاوها وخرجنا وقت المغرب والحمد لله ولاحو,0,0,True,0.3916768,0.6083232
مبروك علينا نتمنا للجزائر الترشح لكاس العالم ضمان المرتب الثالثه ❤,0,0,True,0.32723823,0.6727618
نسيت بابانا,0,0,True,0.30301896,0.6969811
هل يوجد المحل في جيجل,0,0,True,0.28152525,0.71847475
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,0,True,0.2876425,0.7123575
كم ثمنها من فضلك,0,0,True,0.3568167,0.6431833
او 46 الف تاعي بركاو ماتسرقو رجعوها,0,0,True,0.41818696,0.58181304
ماكرون مجنون يرسل اختو تقاتل اله يلعن الظالمين,1,0,False,0.2790141,0.7209859
سبب دائما السرعه المفرطه يوو معدناش طريق افهمو طريقنا كامل امكسره,0,0,True,0.18894923,0.8110508
الجيش والشعب لحمه واحده سليل الجيش التحرير الوطني نصيحه لكل انسان يتحدو كلمه واحده الجزاءر,0,0,True,0.36670205,0.6332979
تخفيضات,0,0,True,0.38709438,0.6129056
كلب نباح,1,0,False,0.36493674,0.6350633
اله يسلمك,0,0,True,0.27472684,0.72527313
هادي لفسو تع سيدك خطيك متنجميش,1,0,False,0.42728415,0.5727159
روح تقود كلاب فرنسا,1,1,True,0.5406723,0.4593277
يارب لي بالي,0,0,True,0.36075616,0.63924384
السلام عليكم يا مجموعه براند المطلوب منكم تفتحوا لينا فرع ولايه الطارف شكرا,0,0,True,0.4983629,0.5016371
